YEAR,DOY,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS10M,WS10M_MAX,WS10M_MIN,PS,AQI,LOC
2019.0,5.999999999999999,-17.770000000000003,-13.700000000000001,-22.98,72.92,0.049999999999999836,8.14,11.52,4.22,53.25,314.0,15.000000000000002
2019.0,5.999999999999999,-17.770000000000003,-13.700000000000001,-22.98,72.92,0.049999999999999836,8.14,11.52,4.22,53.25,355.0,16.0
2019.0,5.999999999999999,-17.770000000000003,-13.700000000000001,-22.98,72.92,0.049999999999999836,8.14,11.52,4.22,53.25,344.0,17.0
2019.0,5.999999999999999,-17.770000000000003,-13.700000000000001,-22.98,72.92,0.049999999999999836,8.14,11.52,4.22,53.25,370.0,18.000000000000004
2019.0,5.999999999999999,-17.770000000000003,-13.700000000000001,-22.98,72.92,0.049999999999999836,8.14,11.52,4.22,53.25,382.0,19.0
2019.0,6.999999999999978,-19.130000000000003,-14.14,-23.3,76.07,0.4199999999999998,8.32,13.19,3.29,53.14,364.0,0.0
2019.0,6.999999999999978,-19.130000000000003,-14.14,-23.3,76.07,0.4199999999999998,8.32,13.19,3.29,53.14,369.0,0.9999999999999996
2019.0,6.999999999999978,-19.130000000000003,-14.14,-23.3,76.07,0.4199999999999998,8.32,13.19,3.29,53.14,340.0,1.9999999999999991
2019.0,6.999999999999978,-19.130000000000003,-14.14,-23.3,76.07,0.4199999999999998,8.32,13.19,3.29,53.14,343.0,2.999999999999999
2019.0,6.999999999999978,-19.130000000000003,-14.14,-23.3,76.07,0.4199999999999998,8.32,13.19,3.29,53.14,319.0,3.9999999999999982
2019.0,6.999999999999978,-19.130000000000003,-14.14,-23.3,76.07,0.4199999999999998,8.32,13.19,3.29,53.14,300.0,5.0
2019.0,6.999999999999978,-19.130000000000003,-14.14,-23.3,76.07,0.4199999999999998,8.32,13.19,3.29,53.14,357.0,6.0
2019.0,6.999999999999978,-19.130000000000003,-14.14,-23.3,76.07,0.4199999999999998,8.32,13.19,3.29,53.14,380.0,7.0
2019.0,6.999999999999978,-19.130000000000003,-14.14,-23.3,76.07,0.4199999999999998,8.32,13.19,3.29,53.14,362.0,7.999999999999999
2019.0,6.999999999999978,-19.130000000000003,-14.14,-23.3,76.07,0.4199999999999998,8.32,13.19,3.29,53.14,302.0,8.999999999999998
2019.0,6.999999999999978,-19.130000000000003,-14.14,-23.3,76.07,0.4199999999999998,8.32,13.19,3.29,53.14,318.0,11.000000000000002
2019.0,6.999999999999978,-19.130000000000003,-14.14,-23.3,76.07,0.4199999999999998,8.32,13.19,3.29,53.14,281.0,10.0
2019.0,6.999999999999978,-19.130000000000003,-14.14,-23.3,76.07,0.4199999999999998,8.32,13.19,3.29,53.14,364.0,12.999999999999998
2019.0,6.999999999999978,-19.130000000000003,-14.14,-23.3,76.07,0.4199999999999998,8.32,13.19,3.29,53.14,347.0,14.0
2019.0,6.999999999999978,-19.130000000000003,-14.14,-23.3,76.07,0.4199999999999998,8.32,13.19,3.29,53.14,351.0,15.000000000000002
2019.0,6.999999999999978,-19.130000000000003,-14.14,-23.3,76.07,0.4199999999999998,8.32,13.19,3.29,53.14,361.0,16.0
2019.0,6.999999999999978,-19.130000000000003,-14.14,-23.3,76.07,0.4199999999999998,8.32,13.19,3.29,53.14,357.0,17.0
2019.0,6.999999999999978,-19.130000000000003,-14.14,-23.3,76.07,0.4199999999999998,8.32,13.19,3.29,53.14,358.0,18.000000000000004
2019.0,6.999999999999978,-19.130000000000003,-14.14,-23.3,76.07,0.4199999999999998,8.32,13.19,3.29,53.14,370.0,19.0
2019.0,7.999999999999991,-21.05,-14.300000000000002,-27.8,66.77,0.03999999999999978,7.58,11.23,5.63,53.01,329.0,0.0
2019.0,7.999999999999991,-21.05,-14.300000000000002,-27.8,66.77,0.03999999999999978,7.58,11.23,5.63,53.01,340.0,0.9999999999999996
2019.0,7.999999999999991,-21.05,-14.300000000000002,-27.8,66.77,0.03999999999999978,7.58,11.23,5.63,53.01,341.0,1.9999999999999991
2019.0,7.999999999999991,-21.05,-14.300000000000002,-27.8,66.77,0.03999999999999978,7.58,11.23,5.63,53.01,329.0,2.999999999999999
2019.0,7.999999999999991,-21.05,-14.300000000000002,-27.8,66.77,0.03999999999999978,7.58,11.23,5.63,53.01,321.0,3.9999999999999982
2019.0,7.999999999999991,-21.05,-14.300000000000002,-27.8,66.77,0.03999999999999978,7.58,11.23,5.63,53.01,287.0,5.0
2019.0,7.999999999999991,-21.05,-14.300000000000002,-27.8,66.77,0.03999999999999978,7.58,11.23,5.63,53.01,326.0,6.0
2019.0,7.999999999999991,-21.05,-14.300000000000002,-27.8,66.77,0.03999999999999978,7.58,11.23,5.63,53.01,363.0,7.0
2019.0,7.999999999999991,-21.05,-14.300000000000002,-27.8,66.77,0.03999999999999978,7.58,11.23,5.63,53.01,359.0,7.999999999999999
2019.0,7.999999999999991,-21.05,-14.300000000000002,-27.8,66.77,0.03999999999999978,7.58,11.23,5.63,53.01,316.0,11.000000000000002
2019.0,7.999999999999991,-21.05,-14.300000000000002,-27.8,66.77,0.03999999999999978,7.58,11.23,5.63,53.01,331.0,10.0
2019.0,7.999999999999991,-21.05,-14.300000000000002,-27.8,66.77,0.03999999999999978,7.58,11.23,5.63,53.01,354.0,12.999999999999998
2019.0,7.999999999999991,-21.05,-14.300000000000002,-27.8,66.77,0.03999999999999978,7.58,11.23,5.63,53.01,311.0,14.0
2019.0,7.999999999999991,-21.05,-14.300000000000002,-27.8,66.77,0.03999999999999978,7.58,11.23,5.63,53.01,322.0,15.000000000000002
2019.0,7.999999999999991,-21.05,-14.300000000000002,-27.8,66.77,0.03999999999999978,7.58,11.23,5.63,53.01,359.0,17.0
2019.0,7.999999999999991,-21.05,-14.300000000000002,-27.8,66.77,0.03999999999999978,7.58,11.23,5.63,53.01,308.0,18.000000000000004
2019.0,7.999999999999991,-21.05,-14.300000000000002,-27.8,66.77,0.03999999999999978,7.58,11.23,5.63,53.01,348.0,19.0
2019.0,8.99999999999997,-19.859999999999996,-14.290000000000001,-24.019999999999996,79.84,0.4299999999999999,5.85,9.9,2.72,52.91,300.0,0.0
2019.0,8.99999999999997,-19.859999999999996,-14.290000000000001,-24.019999999999996,79.84,0.4299999999999999,5.85,9.9,2.72,52.91,305.0,0.9999999999999996
2019.0,8.99999999999997,-19.859999999999996,-14.290000000000001,-24.019999999999996,79.84,0.4299999999999999,5.85,9.9,2.72,52.91,330.0,1.9999999999999991
2019.0,8.99999999999997,-19.859999999999996,-14.290000000000001,-24.019999999999996,79.84,0.4299999999999999,5.85,9.9,2.72,52.91,295.0,2.999999999999999
2019.0,8.99999999999997,-19.859999999999996,-14.290000000000001,-24.019999999999996,79.84,0.4299999999999999,5.85,9.9,2.72,52.91,303.0,3.9999999999999982
2019.0,8.99999999999997,-19.859999999999996,-14.290000000000001,-24.019999999999996,79.84,0.4299999999999999,5.85,9.9,2.72,52.91,256.0,5.0
2019.0,8.99999999999997,-19.859999999999996,-14.290000000000001,-24.019999999999996,79.84,0.4299999999999999,5.85,9.9,2.72,52.91,284.0,6.0
2019.0,8.99999999999997,-19.859999999999996,-14.290000000000001,-24.019999999999996,79.84,0.4299999999999999,5.85,9.9,2.72,52.91,349.0,7.0
2019.0,8.99999999999997,-19.859999999999996,-14.290000000000001,-24.019999999999996,79.84,0.4299999999999999,5.85,9.9,2.72,52.91,231.99999999999997,8.999999999999998
2019.0,8.99999999999997,-19.859999999999996,-14.290000000000001,-24.019999999999996,79.84,0.4299999999999999,5.85,9.9,2.72,52.91,279.0,11.000000000000002
2019.0,8.99999999999997,-19.859999999999996,-14.290000000000001,-24.019999999999996,79.84,0.4299999999999999,5.85,9.9,2.72,52.91,249.99999999999997,12.0
2019.0,8.99999999999997,-19.859999999999996,-14.290000000000001,-24.019999999999996,79.84,0.4299999999999999,5.85,9.9,2.72,52.91,295.0,10.0
2019.0,8.99999999999997,-19.859999999999996,-14.290000000000001,-24.019999999999996,79.84,0.4299999999999999,5.85,9.9,2.72,52.91,302.0,12.999999999999998
2019.0,8.99999999999997,-19.859999999999996,-14.290000000000001,-24.019999999999996,79.84,0.4299999999999999,5.85,9.9,2.72,52.91,270.0,14.0
2019.0,8.99999999999997,-19.859999999999996,-14.290000000000001,-24.019999999999996,79.84,0.4299999999999999,5.85,9.9,2.72,52.91,290.0,15.000000000000002
2019.0,8.99999999999997,-19.859999999999996,-14.290000000000001,-24.019999999999996,79.84,0.4299999999999999,5.85,9.9,2.72,52.91,328.0,16.0
2019.0,8.99999999999997,-19.859999999999996,-14.290000000000001,-24.019999999999996,79.84,0.4299999999999999,5.85,9.9,2.72,52.91,293.0,17.0
2019.0,8.99999999999997,-19.859999999999996,-14.290000000000001,-24.019999999999996,79.84,0.4299999999999999,5.85,9.9,2.72,52.91,294.0,18.000000000000004
2019.0,8.99999999999997,-19.859999999999996,-14.290000000000001,-24.019999999999996,79.84,0.4299999999999999,5.85,9.9,2.72,52.91,312.0,19.0
2019.0,9.999999999999984,-22.94,-16.28,-28.62,66.29,0.02999999999999995,6.89,10.8,4.43,53.15,317.0,0.0
2019.0,9.999999999999984,-22.94,-16.28,-28.62,66.29,0.02999999999999995,6.89,10.8,4.43,53.15,312.0,0.9999999999999996
2019.0,9.999999999999984,-22.94,-16.28,-28.62,66.29,0.02999999999999995,6.89,10.8,4.43,53.15,334.0,1.9999999999999991
2019.0,9.999999999999984,-22.94,-16.28,-28.62,66.29,0.02999999999999995,6.89,10.8,4.43,53.15,283.0,2.999999999999999
2019.0,9.999999999999984,-22.94,-16.28,-28.62,66.29,0.02999999999999995,6.89,10.8,4.43,53.15,314.0,3.9999999999999982
2019.0,9.999999999999984,-22.94,-16.28,-28.62,66.29,0.02999999999999995,6.89,10.8,4.43,53.15,234.0,5.0
2019.0,9.999999999999984,-22.94,-16.28,-28.62,66.29,0.02999999999999995,6.89,10.8,4.43,53.15,315.0,6.0
2019.0,9.999999999999984,-22.94,-16.28,-28.62,66.29,0.02999999999999995,6.89,10.8,4.43,53.15,346.0,7.0
2019.0,9.999999999999984,-22.94,-16.28,-28.62,66.29,0.02999999999999995,6.89,10.8,4.43,53.15,309.0,7.999999999999999
2019.0,9.999999999999984,-22.94,-16.28,-28.62,66.29,0.02999999999999995,6.89,10.8,4.43,53.15,232.99999999999997,8.999999999999998
2019.0,9.999999999999984,-22.94,-16.28,-28.62,66.29,0.02999999999999995,6.89,10.8,4.43,53.15,304.0,11.000000000000002
2019.0,9.999999999999984,-22.94,-16.28,-28.62,66.29,0.02999999999999995,6.89,10.8,4.43,53.15,269.0,12.0
2019.0,9.999999999999984,-22.94,-16.28,-28.62,66.29,0.02999999999999995,6.89,10.8,4.43,53.15,307.0,10.0
2019.0,9.999999999999984,-22.94,-16.28,-28.62,66.29,0.02999999999999995,6.89,10.8,4.43,53.15,290.0,12.999999999999998
2019.0,9.999999999999984,-22.94,-16.28,-28.62,66.29,0.02999999999999995,6.89,10.8,4.43,53.15,297.0,14.0
2019.0,9.999999999999984,-22.94,-16.28,-28.62,66.29,0.02999999999999995,6.89,10.8,4.43,53.15,304.0,15.000000000000002
2019.0,9.999999999999984,-22.94,-16.28,-28.62,66.29,0.02999999999999995,6.89,10.8,4.43,53.15,323.0,16.0
2019.0,9.999999999999984,-22.94,-16.28,-28.62,66.29,0.02999999999999995,6.89,10.8,4.43,53.15,276.0,17.0
2019.0,9.999999999999984,-22.94,-16.28,-28.62,66.29,0.02999999999999995,6.89,10.8,4.43,53.15,303.0,18.000000000000004
2019.0,9.999999999999984,-22.94,-16.28,-28.62,66.29,0.02999999999999995,6.89,10.8,4.43,53.15,324.0,19.0
2019.0,10.999999999999998,-20.980000000000004,-14.45,-27.410000000000004,74.7,0.0,7.96,11.95,5.45,53.11,404.0,0.0
2019.0,10.999999999999998,-20.980000000000004,-14.45,-27.410000000000004,74.7,0.0,7.96,11.95,5.45,53.11,396.0,0.9999999999999996
2019.0,10.999999999999998,-20.980000000000004,-14.45,-27.410000000000004,74.7,0.0,7.96,11.95,5.45,53.11,413.0,1.9999999999999991
2019.0,10.999999999999998,-20.980000000000004,-14.45,-27.410000000000004,74.7,0.0,7.96,11.95,5.45,53.11,386.0,2.999999999999999
2019.0,10.999999999999998,-20.980000000000004,-14.45,-27.410000000000004,74.7,0.0,7.96,11.95,5.45,53.11,374.0,3.9999999999999982
